,Name,Price,Sales,Rating,Rating record,Discount(%),Date,Category,Ini_cat,Group_ID,Product_ID
408,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Bơ dưỡng thể cà phê 200ml TẶNG Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml,289.0,759.0,"4,9",241.0,15.0,2023-03-23,Coffee,C,16,C16
409,SPECIAL DEAL cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 600ml - Tặng tẩy da chết môi cà phê Đắk Lắk Cocoon 5g  Giảm 8,325.0,72000.0,"4,9",26000.0,,2023-03-23,Coffee,C,13,C13
410,Combo 2 Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,212.5,64.0,"4,8",18.0,15.0,2023-03-23,Coffee,C,2,C2
411,SPECIAL COMBO 2 Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml tặng Nước tẩy trang bí đao Cocoon 140ml,250.0,51.0,"4,8",13.0,,2023-03-23,Coffee,C,9,C9
412,[Mã COSCN12 giảm 8%] Tẩy da chết môi cà phê Đắk Lắk Cocoon môi ẩm mềm 5g,63.75,209000.0,5,83000.0,15.0,2023-03-23,Coffee,C,21,C21
413,SPECIAL COMBO Gel rửa mặt cà phê 140ml+Tẩy da chết mặt cà phê 150ml tặng Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml,360.0,45.0,5,12.0,,2023-03-23,Coffee,C,10,C10
414,[Mã COSCN12 giảm 8%] Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,106.25,1237000.0,5,454000.0,15.0,2023-03-23,Coffee,C,20,C20
415,Bigsize - Gel rửa mặt cà phê Đắk Lắk Cocoon cho làn da tươi mới và rạng rỡ 310ml,250.75,127.0,"4,9",35.0,15.0,2023-03-23,Coffee,C,1,C1
416,TÚI REFILL - Cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 600ml,276.25,92000.0,"4,9",27000.0,15.0,2023-03-23,Coffee,C,15,C15
417,[Mã COSCN12 giảm 8%] Tẩy da chết mặt cà phê Đắk Lắk Cocoon cho làn da mềm mại & rạng rỡ 150ml,140.25,632000.0,"4,9",24000.0,15.0,2023-03-23,Coffee,C,22,C22
418,Gel rửa mặt cà phê Đắk Lắk Cocoon cho làn da tươi mới và rạng rỡ 140ml,165.75,970.0,"4,9",299.0,15.0,2023-03-23,Coffee,C,4,C4
419,SPECIAL COMBO tẩy da chết cà phê Đắk Lắk Cocoon Tặng tẩy da chết môi cà phê Đắk Lắk 5g,290.0,148000.0,5,6000.0,,2023-03-23,Coffee,C,11,C11
420,[Mã COSCN12 giảm 8%] Bơ dưỡng thể cà phê Đắk Lắk Cocoon cho da mềm mịn & rạng rỡ 200ml,182.75,108000.0,5,44000.0,15.0,2023-03-23,Coffee,C,17,C17
421,[Mã COSCN12 giảm 8%] Combo làm sạch da chết và dưỡng ẩm cơ thể từ cà phê Đắk Lắk Cocoon,323.0,16000.0,5,600.0,15.0,2023-03-24,Coffee,C,19,C19
422,SPECIAL DEAL cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 600ml - Tặng tẩy da chết môi cà phê Đắk Lắk Cocoon 5g  Giảm 8,325.0,72000.0,"4,9",26000.0,,2023-03-24,Coffee,C,13,C13
423,Combo Sáng Mịn Sạch Mụn: 1 Gel tắm bí đao Cocoon 310ml + 1 Cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 200ml,,14000.0,"4,9",483.0,,2023-03-24,Coffee,C,3,C3
424,Combo 2 Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,250.0,68.0,"4,8",19.0,,2023-03-24,Coffee,C,2,C2
425,SPECIAL COMBO Gel rửa mặt cà phê 140ml+Tẩy da chết mặt cà phê 150ml tặng Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml,360.0,47.0,5,12.0,,2023-03-24,Coffee,C,10,C10
426,Bigsize - Gel rửa mặt cà phê Đắk Lắk Cocoon cho làn da tươi mới và rạng rỡ 310ml,295.0,130.0,"4,9",35.0,,2023-03-24,Coffee,C,1,C1
427,SPECIAL COMBO 2 Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml tặng Nước tẩy trang bí đao Cocoon 140ml,250.0,59.0,"4,9",14.0,,2023-03-24,Coffee,C,9,C9
428,Gel rửa mặt cà phê Đắk Lắk Cocoon cho làn da tươi mới và rạng rỡ 140ml,,972.0,"4,9",300.0,,2023-03-24,Coffee,C,4,C4
429,[Mã COSCN12 giảm 8%] Tẩy da chết môi cà phê Đắk Lắk Cocoon môi ẩm mềm 5g,,209000.0,5,83000.0,,2023-03-24,Coffee,C,21,C21
430,TÚI REFILL - Cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 600ml,,93000.0,"4,9",27000.0,20.0,2023-03-24,Coffee,C,15,C15
431,[Mã COSCN12 giảm 8%] Tẩy da chết mặt cà phê Đắk Lắk Cocoon cho làn da mềm mại & rạng rỡ 150ml,132.0,632000.0,"4,9",24000.0,20.0,2023-03-24,Coffee,C,22,C22
432,[Mã COSCN12 giảm 8%] Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,,1238000.0,5,454000.0,20.0,2023-03-24,Coffee,C,20,C20
433,SPECIAL COMBO tẩy da chết cà phê Đắk Lắk Cocoon Tặng tẩy da chết môi cà phê Đắk Lắk 5g,,149000.0,5,6000.0,,2023-03-24,Coffee,C,11,C11
