Name,Price,Sales,URL,Rating,Rating record,Date,Discount
HÀNG TẶNG KHÔNG BÁN - Sữa rửa mặt nghệ Hưng Yên Cocoon giúp da sạch mịn và rạng rỡ 140ml,₫195.000,"2,6k",/HÀNG-TẶNG-KHÔNG-BÁN-Sữa-rửa-mặt-nghệ-Hưng-Yên-Cocoon-giúp-da-sạch-mịn-và-rạng-rỡ-140ml-i.175753395.12668701799?sp_atk=16034dcd-a247-447c-b0b5-54f03eba0c67&amp;xptdk=16034dcd-a247-447c-b0b5-54f03eba0c67,5,850,9/2/2023,
Thạch nghệ Hưng Yên giúp làm sáng da và mờ thâm Cocoon 30ml,₫195.000,"2,6k",/Thạch-nghệ-Hưng-Yên-giúp-làm-sáng-da-và-mờ-thâm-Cocoon-30ml-i.175753395.16670476461?sp_atk=ceefe6e4-c001-4f37-b6c3-32260e3412fe&amp;xptdk=ceefe6e4-c001-4f37-b6c3-32260e3412fe,4.9,810,9/2/2023,
Bigsize - Thạch nghệ Hưng Yên giúp làm sáng da và mờ thâm Cocoon 100ml,₫385.000,880,/Bigsize-Thạch-nghệ-Hưng-Yên-giúp-làm-sáng-da-và-mờ-thâm-Cocoon-100ml-i.175753395.16270477304?sp_atk=907a95db-fe65-44d5-b8a5-152c608b954f&amp;xptdk=907a95db-fe65-44d5-b8a5-152c608b954f,4.9,297,9/2/2023,
[Mã COSCN12 giảm 8%] Sữa rửa mặt nghệ Hưng Yên Cocoon giúp da sạch mịn và rạng rỡ 140ml,₫195.000,"9,4k",/-Mã-COSCN12-giảm-8-Sữa-rửa-mặt-nghệ-Hưng-Yên-Cocoon-giúp-da-sạch-mịn-và-rạng-rỡ-140ml-i.175753395.8429874736?sp_atk=ee4b2bd8-9d6a-4426-a103-143374b7af92&amp;xptdk=ee4b2bd8-9d6a-4426-a103-143374b7af92,4.9,"3,5k",9/2/2023,
[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Nước nghệ Hưng Yên 140ml TẶNG Mặt nạ nghệ 30ml Cocoon,₫340.000,409,/-DEAL-1-TẶNG-1-ĐỘC-QUYỀN-FLASH-SALE-Nước-nghệ-Hưng-Yên-140ml-TẶNG-Mặt-nạ-nghệ-30ml-Cocoon-i.175753395.21228988554?sp_atk=e82cee67-debf-4d93-adf5-bf7a18bbd751&amp;xptdk=e82cee67-debf-4d93-adf5-bf7a18bbd751,4.9,137,9/2/2023,
HÀNG TẶNG KHÔNG BÁN - Bigsize - Nước nghệ Hưng Yên (toner) Cocoon làm sáng da & cấp ẩm 310ml,₫295.000,"1,2k",/HÀNG-TẶNG-KHÔNG-BÁN-Bigsize-Nước-nghệ-Hưng-Yên-(toner)-Cocoon-làm-sáng-da-cấp-ẩm-310ml-i.175753395.12894753772?sp_atk=0dc99c78-db34-4540-baca-f411b4ca7854&amp;xptdk=0dc99c78-db34-4540-baca-f411b4ca7854,5,407,9/2/2023,
SPECIAL COMBO sáng da cơ bản từ nghệ Hưng Yên Cocoon - Tặng mặt nạ nghệ Hưng Yên Cocoon 30ml,₫390.000,880,/SPECIAL-COMBO-sáng-da-cơ-bản-từ-nghệ-Hưng-Yên-Cocoon-Tặng-mặt-nạ-nghệ-Hưng-Yên-Cocoon-30ml-i.175753395.6093339310?sp_atk=a7e42147-5972-4a79-84fb-799c5c5d8259&amp;xptdk=a7e42147-5972-4a79-84fb-799c5c5d8259,5,343,9/2/2023,
[Mã COSCN12 giảm 8%] Bigsize - Mặt nạ nghệ Hưng Yên Cocoon giúp da rạng rỡ & mịn màng 100ml,₫345.000,4k,/-Mã-COSCN12-giảm-8-Bigsize-Mặt-nạ-nghệ-Hưng-Yên-Cocoon-giúp-da-rạng-rỡ-mịn-màng-100ml-i.175753395.8056493042?sp_atk=085e25d1-637e-4afb-a411-09921b77fcf5&amp;xptdk=085e25d1-637e-4afb-a411-09921b77fcf5,4.9,"1,6k",9/2/2023,
Bigsize - Nước nghệ Hưng Yên (toner) Cocoon làm sáng da & cấp ẩm 310ml,₫295.000,"1,1k",/Bigsize-Nước-nghệ-Hưng-Yên-(toner)-Cocoon-làm-sáng-da-cấp-ẩm-310ml-i.175753395.17074817660?sp_atk=e0923f2d-9d3d-437f-90c4-2bc287bd8ceb&amp;xptdk=e0923f2d-9d3d-437f-90c4-2bc287bd8ceb,5,304,9/2/2023,
[Mã COSCN12 giảm 8%] Nước nghệ Hưng Yên (toner) Cocoon làm sáng da & cấp ẩm 140ml,₫195.000,,/-Mã-COSCN12-giảm-8-Nước-nghệ-Hưng-Yên-(toner)-Cocoon-làm-sáng-da-cấp-ẩm-140ml-i.175753395.9729877714?sp_atk=6b544a4c-cb26-42e1-8e55-bbade489d6d6&amp;xptdk=6b544a4c-cb26-42e1-8e55-bbade489d6d6,,,9/2/2023,
[Mã COSCN12 giảm 8%] Mặt nạ nghệ Hưng Yên Cocoon giúp da rạng rỡ & mịn màng 30ml,₫145.000,"22,6k",/-Mã-COSCN12-giảm-8-Mặt-nạ-nghệ-Hưng-Yên-Cocoon-giúp-da-rạng-rỡ-mịn-màng-30ml-i.175753395.3020953743?sp_atk=445ea974-d070-43db-bfd4-f70ede1c89bf&amp;xptdk=445ea974-d070-43db-bfd4-f70ede1c89bf,5,"8,8k",9/2/2023,
HÀNG TẶNG KHÔNG BÁN - Nước nghệ Hưng Yên (toner) Cocoon làm sáng da & cấp ẩm 140ml,₫195.000,"1,7k",/HÀNG-TẶNG-KHÔNG-BÁN-Nước-nghệ-Hưng-Yên-(toner)-Cocoon-làm-sáng-da-cấp-ẩm-140ml-i.175753395.14335427212?sp_atk=dc2178e3-d41c-4388-a3f2-3a4bf87a638f&amp;xptdk=dc2178e3-d41c-4388-a3f2-3a4bf87a638f,4.9,582,9/2/2023,
HÀNG TẶNG KHÔNG BÁN - Mặt nạ nghệ Hưng Yên Cocoon giúp da rạng rỡ & mịn màng 30ml,₫145.000,,/HÀNG-TẶNG-KHÔNG-BÁN-Mặt-nạ-nghệ-Hưng-Yên-Cocoon-giúp-da-rạng-rỡ-mịn-màng-30ml-i.175753395.11282321915?sp_atk=803851b1-d79c-4631-a4e1-87d5209033b4&amp;xptdk=803851b1-d79c-4631-a4e1-87d5209033b4,,,9/2/2023,
Bigsize - Sữa rửa mặt nghệ Hưng Yên Cocoon giúp da sạch mịn và rạng rỡ 310ml,₫295.000,"2,9k",/Bigsize-Sữa-rửa-mặt-nghệ-Hưng-Yên-Cocoon-giúp-da-sạch-mịn-và-rạng-rỡ-310ml-i.175753395.20711497482?sp_atk=876f2528-bede-404d-8087-e42c03d11050&amp;xptdk=876f2528-bede-404d-8087-e42c03d11050,4.9,938,9/2/2023,
HÀNG TẶNG KHÔNG BÁN - Bigsize - Sữa rửa mặt nghệ Hưng Yên Cocoon giúp da sạch mịn và rạng rỡ 310ml,₫295.000,593,/HÀNG-TẶNG-KHÔNG-BÁN-Bigsize-Sữa-rửa-mặt-nghệ-Hưng-Yên-Cocoon-giúp-da-sạch-mịn-và-rạng-rỡ-310ml-i.175753395.18551572172?sp_atk=8002bba7-3111-4529-88a1-a3e2fd59834c&amp;xptdk=8002bba7-3111-4529-88a1-a3e2fd59834c,4.9,176,9/2/2023,
[Mã COSCN12 giảm 8%] Combo Nước nghệ Hưng Yên 140ml + Mặt nạ nghệ 30ml Cocoon,₫323.000,264,/-Mã-COSCN12-giảm-8-Combo-Nước-nghệ-Hưng-Yên-140ml-Mặt-nạ-nghệ-30ml-Cocoon-i.175753395.10838462985?sp_atk=3ec44218-fe29-4241-acaf-c7f2dbea3020&amp;xptdk=3ec44218-fe29-4241-acaf-c7f2dbea3020,4.9,109,9/2/2023,
[Mã COSCN12 giảm 8%] Xịt khoáng nghệ Hưng Yên Cocoon giúp sáng da và ngăn ngừa oxy hóa Cocoon 130ml,₫215.000,"4,4k",/-Mã-COSCN12-giảm-8-Xịt-khoáng-nghệ-Hưng-Yên-Cocoon-giúp-sáng-da-và-ngăn-ngừa-oxy-hóa-Cocoon-130ml-i.175753395.15800799620?sp_atk=57b6856a-11e9-4c03-92ce-acb3ef18a853&amp;xptdk=57b6856a-11e9-4c03-92ce-acb3ef18a853,4.9,"1,6k",9/2/2023,
