,Name,Price,Sales,Rating,Rating record,Discount(%),Date,Category,Ini_cat,Group_ID
846,[Mã COSCN12 giảm 8%] Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 30ml,145.0,75000.0,5,31000.0,,2023-03-10,Rose,R,16
847,[Mã COSCN12 giảm 8%] Combo cấp ẩm cơ bản từ hoa hồng Cocoon,622.0,123.0,5,47.0,,2023-03-10,Rose,R,11
848,[Mã COSCN12 giảm 8%] Combo Nước hoa hồng 140ml + Mặt nạ hoa hồng 30ml Cocoon,323.0,250.0,5,90.0,,2023-03-10,Rose,R,10
849,"SPECIAL COMBO làm sạch, cấp ẩm dịu nhẹ từ hoa hồng Cocoon - Tặng nước tẩy trang hoa hồng Cocoon 140ml",390.0,509.0,"4,9",210.0,,2023-03-10,Rose,R,5
850,"[Mã COSCN12 giảm 8%] Combo làm sạch, cấp ẩm & phục hồi chuyên sâu từ hoa hồng Cocoon",945.0,197.0,"4,8",72.0,,2023-03-10,Rose,R,13
851,[Mã COSCN12 giảm 8%] Bigsize - Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 100ml,385.0,67000.0,"4,9",25000.0,,2023-03-10,Rose,R,9
852,[Mã COSCN12 giảm 8%] Dầu tẩy trang hoa hồng Cocoon tẩy sạch makeup chuyên nghiệp & dưỡng ẩm 140ml,180.0,55000.0,5,19000.0,,2023-03-10,Rose,R,14
853,[Mã COSCN12 giảm 8%] Gel rửa mặt hoa hồng Cocoon làm sạch & cấp ẩm 140ml,195.0,52000.0,"4,9",19000.0,,2023-03-10,Rose,R,15
854,[Mã COSCN12 giảm 8%] Bigsize - Nước tẩy trang hoa hồng Cocoon tẩy sạch makeup & cấp ẩm 500ml,295.0,86000.0,"4,9",31000.0,,2023-03-10,Rose,R,8
855,[Mã COSCN12 giảm 8%] Nước hoa hồng (toner) Cocoon cấp ẩm & làm mềm da 140ml,195.0,127000.0,5,47000.0,,2023-03-10,Rose,R,17
856,[Mã COSCN12 giảm 8%] Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 30ml,195.0,16000.0,5,65000.0,,2023-03-10,Rose,R,19
857,[Mã COSCN12 giảm 8%] Tinh chất hoa hồng (serum) Cocoon cấp ẩm & phục hồi da 30ml,265.0,38000.0,5,14000.0,,2023-03-10,Rose,R,20
887,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Nước hoa hồng 140ml TẶNG Mặt nạ hoa hồng 30ml Cocoon,340.0,257.0,"4,9",76.0,,2023-03-11,Rose,R,6
